code,N,S,E,W
01,46.517199374492,45.611235124481,6.1697363568789,4.729097034294
02,50.069271974234,48.837795469902,4.2540638814402,2.9624508927558
03,46.803872076205,45.930727869968,4.0055701432229,2.2804029533754
04,44.659501345682,43.668282105491,6.9668199032047,5.4980104773442
05,45.12684420383,44.186478874057,7.0771048243018,5.4185330627929
06,44.361051257141,43.480065494401,7.7169378581589,6.6363906079569
07,45.365674921417,44.264783733394,4.8865943991285,3.8615128126047
08,50.168317417174,49.228510768771,5.3935393812988,4.0252899216328
09,43.315601482419,42.572397819345,2.1758766074869,0.82612266137771
10,48.716672523486,47.924112631788,4.863174195777,3.3883584814447
11,43.459927734352,42.64890098195,3.2405623482295,1.6884233932357
12,44.941219492647,43.692056102371,3.4507554815828,1.8396044963184
13,43.92406219253,43.162545513212,5.8132476569219,4.2302808850321
14,49.429859840723,48.752223582274,0.44627431224134,-1.1595014604014
15,45.480702895801,44.61552895784,3.3699091459722,2.0629079799591
16,46.139591492141,45.191628193392,0.9456207917489,-0.46177341555077
17,46.371051399922,45.088810634907,0.005823224821197,-1.5614800452621
18,47.628965936616,46.420403547753,3.0793324170792,1.7745852665449
19,45.763895555756,44.923721627249,2.5283596411119,1.2271245972559
21,48.030241950581,46.900857518168,5.5185372800929,4.0660574486622
22,48.867411825697,48.035478415172,-1.9089921410274,-3.663669588163
23,46.45481310551,45.664008285608,2.6107853057918,1.3748978470741
24,45.714569962764,44.57129825478,1.4482602497483,-0.041998525054412
25,47.579897594928,46.553996454277,7.0622006908671,5.6987272452696
26,45.344042230781,44.115716677493,5.8294720463131,4.6477668446587
27,49.485111873749,48.666521479531,1.8026740663848,0.29722451460974
28,48.941051842112,47.953852019595,1.9940901445311,0.76023175104941
29,48.75230874743,47.762638930067,-3.3880788564101,-5.138001239929
30,44.459798467391,43.460183661653,4.8455501032842,3.2628340569911
31,43.920240096152,42.68989270234,2.0478554672695,0.44199364903152
32,44.078224550392,43.310884111508,1.2013345895525,-0.28211623210758
33,45.574691325999,44.193811119459,0.31506020240148,-1.2617334302552
34,43.969527164685,43.212804132866,4.1944474773799,2.5399656073586
35,48.704854504824,47.631356309182,-1.0168893967587,-2.289084836122
36,47.276819032313,46.347214822447,2.2043920861378,0.86746898682573
37,47.709346222795,46.737086924375,1.3653663291974,0.053277684947378
38,45.883269928025,44.696067584965,6.3588423781754,4.7441167394752
39,47.305475313171,46.260731935709,6.2033299339615,5.2548827302617
40,44.532195517275,43.487949116697,0.13672631290526,-1.524870110434
41,48.132548568904,47.18622172903,2.2478931361182,0.58052041667909
42,46.275936357353,45.232177394436,4.7604638818845,3.6906909501902
43,45.427582294546,44.743866105932,4.489606977621,3.0822533822787
44,47.833557723029,46.860078088448,-0.94643916329696,-2.5589448655806
45,48.344598562828,47.482968445146,3.1284487900515,1.5129691249084
46,45.046275852749,44.204018679795,2.2108934010391,0.98177646477517
47,44.764390535693,43.973860568873,1.0779367166615,-0.14068987994571
48,44.971408091786,44.113818175271,3.9981617468281,2.981675726654
49,47.809992506553,46.969397597368,0.23453049018557,-1.3541992398083
50,49.725557927402,48.458282754255,-0.73732101904671,-1.9472733176655
51,49.406179032892,48.516108006569,5.0379027924329,3.398657955437
52,48.688711618117,47.576950536437,5.8908642780035,4.6268310932286
53,48.567994064435,47.733379704738,-0.049909790963035,-1.238247803597
54,49.562644003065,48.349889737943,7.1231636635608,5.429907860027
55,49.617086785829,48.410687855212,5.8541770017029,4.8885820531146
56,48.210884763611,47.283069445657,-2.0357552590146,-3.7321436369252
57,49.510019040716,48.52694525177,7.6352815933424,5.8934039932125
58,47.587958865747,46.651760006926,4.2306617272065,2.8451871650071
59,51.08854370897,49.969186662527,4.2279959931456,2.0677049871716
60,49.758309270134,49.060452516659,3.162641421643,1.6895744511517
61,48.972557592954,48.181599665308,0.9762713097259,-0.86036021134895
62,51.006501514321,50.020975633738,3.1883563131291,1.5577948179294
63,46.255486133208,45.287121578381,3.9844000097893,2.388014020679
64,43.596401195938,42.777515930774,0.02629551293813,-1.7908870919282
65,43.609311711216,42.674921018438,0.64553925526757,-0.3270823405503
66,42.918339638726,42.33364688988,3.1747892794105,1.7256472450279
67,49.077884925649,48.120371112534,8.2303986615424,6.9403717864006
68,48.310471263573,47.422198455938,7.6220859200517,6.8428287756472
69,46.303994122044,45.45503324486,5.1592030475156,4.243469905983
70,48.023714993889,47.253139353829,6.8235333222471,5.3727580571009
71,47.155410810959,46.156946471815,5.4622983197648,3.6225898833129
72,48.482954540393,47.569104805534,0.91379809767445,-0.44786007819229
73,45.93845768164,45.051837207667,7.1842712160815,5.6230208703548
74,46.408081546332,45.682198985672,7.0438913499404,5.8074048290847
75,48.902007785215,48.816314210034,2.4675819883673,2.2242191058804
76,50.070851596042,49.252262168305,1.79022549105,0.065609431053556
77,49.11755332218,48.122204261229,3.555613758785,2.3931765378081
78,49.08303659502,48.440146719021,2.2265538842831,1.4472851104304
79,47.108333434925,45.969661749473,0.22035828616308,-0.89196408624284
80,50.366290636763,49.571762327,3.2030417908111,1.3796981484469
81,44.200834436147,43.383508824887,2.93545676901,1.5439759556659
82,44.393331095059,43.770780304363,1.9963637896774,0.73810974125492
83,43.806770970879,42.982043008785,6.9337211159516,5.6559638228901
84,44.431367227183,43.658685905188,5.7573377215236,4.649227423465
85,47.083893903306,46.266566974958,-0.53779518169029,-2.3987614706025
86,47.175754285742,46.049008552161,1.2126877519811,-0.1021158452812
87,46.401546863371,45.437356928582,1.9094484810021,0.62974117909144
88,48.513587820739,47.813051201983,7.1982872111206,5.3944755711529
89,48.39970411104,47.312769315752,4.3403007872795,2.8487899744432
90,47.824784354742,47.433371743667,7.1398015507652,6.7576409592057
91,48.776101996393,48.284688606385,2.5853737107586,1.9149199821626
92,48.950965864655,48.72948996497,2.3363529889891,2.1458760215967
93,49.012397786393,48.807437551952,2.6025997962059,2.2882536989787
94,48.861405371284,48.688326690701,2.6136517425679,2.3102224901101
95,49.232197221792,48.908679329899,2.5905283926735,1.608798807603
2A,42.381404942274,41.362164776515,9.4073217319481,8.5401025407511
2B,43.011724041684,41.832143660252,9.5592262719626,8.5734085639674
